tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Barbera,Red,beef stew,Carn vermella,German,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,roast chicken with herbs,Aviram,Espanyola,5,Excel·lent,Lighter wines fit poultry.
Champagne,Sparkling,taula d'embotits,Aperitiu salat,Argentinian,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,beef stew,Carn vermella,Thai,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,gazpacho,Acidic,Korean,3,Neutral,El vi àcid equilibra el menjar àcid.
Sangiovese,Red,cheese platter,Cheese,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,xai rostit,Carn vermella,Ethiopian,3,Neutral,Delicate wine overwhelmed by red meat.
Viognier,White,cheese platter,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,carbonara,Creamy,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,grilled ribeye,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,beef stew,Carn vermella,Mexicana,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,caprese salad,Acidic,Italian,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,caprese salad,Acidic,Thai,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,citrus salad,Acidic,German,2,Pobre,Low-acid wine seems flabby vs acids.
Grüner Veltliner,White,xai rostit,Carn vermella,Chinese (Sichuan),3,Neutral,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,citrus salad,Acidic,Chinese (Sichuan),3,Neutral,El vi àcid equilibra el menjar àcid.
Chardonnay,White,alfredo pasta,Creamy,German,3,Neutral,Richer body matches creamy textures.
Gamay (Beaujolais),Red,bbq brisket,Carn vermella,Moroccan,1,Terrible,Delicate wine overwhelmed by red meat.
Albariño,White,cream of mushroom soup,Creamy,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Syrah/Shiraz,Red,gazpacho,Acidic,Middle Eastern,4,Bo,El vi àcid equilibra el menjar àcid.
Madeira,Fortified,caprese salad,Acidic,Greek,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,vegetable curry,Vegetarian,Argentinian,2,Pobre,Avaluació heurística del maridatge.
White Zinfandel,Rosé,bbq brisket,Carn vermella,Japanese,1,Terrible,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,beef stew,Carn vermella,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,fondue,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Greek,4,Bo,Avaluació heurística del maridatge.
Tempranillo,Red,beef stew,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,gazpacho,Acidic,Italian,4,Bo,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,fondue,Cheese,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,cheese platter,Cheese,Thai,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,grilled ribeye,Carn vermella,Mexicana,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,cheesecake,Postres,American BBQ,2,Pobre,Dry table wine clashes with dessert sweetness.
Merlot,Red,alfredo pasta,Creamy,Japanese,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,bacon burger,Pork,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,cheese platter,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,ànec a la taronja,Aviram,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,roast chicken with herbs,Aviram,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,oysters,Seafood,Korean,3,Neutral,Crisp acidity suits seafood.
Madeira,Fortified,beef stew,Carn vermella,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,fondue,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Barbera,Red,bbq brisket,Carn vermella,Ethiopian,1,Terrible,Delicate wine overwhelmed by red meat.
Gamay (Beaujolais),Red,gazpacho,Acidic,Vietnamita,3,Neutral,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,vegetable curry,Vegetarian,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,chocolate mousse,Postres,Korean,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Francesa,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,carbonara,Pork,Greek,3,Neutral,Richer body matches creamy textures.
Sauternes,Postres,oysters,Seafood,Espanyola,1,Terrible,Tannic reds clash with delicate seafood.
Merlot,Red,citrus salad,Acidic,Thai,4,Bo,El vi àcid equilibra el menjar àcid.
Ice Wine,Postres,grilled burger,Barbacoa fumada,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Syrah/Shiraz,Red,cheese platter,Cheese,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Barbera,Red,beef stew,Carn vermella,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,taula d'embotits,Aperitiu salat,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,caprese salad,Acidic,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,mac and cheese,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,beef stew,Carn vermella,Thai,2,Pobre,Avaluació heurística del maridatge.
Malbec,Red,mac and cheese,Cheese,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Chenin Blanc,White,caprese salad,Acidic,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,caprese salad,Acidic,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,bbq brisket,Carn vermella,Vietnamita,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Torrontés,White,Thai curry,Spicy,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,beef stew,Carn vermella,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,gazpacho,Acidic,Ethiopian,1,Terrible,Low-acid wine seems flabby vs acids.
Chenin Blanc,White,cheese platter,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,citrus salad,Acidic,Middle Eastern,4,Bo,El vi àcid equilibra el menjar àcid.
Tempranillo,Red,bbq brisket,Carn vermella,Argentinian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Barbera,Red,cheese platter,Cheese,Mexicana,4,Bo,Avaluació heurística del maridatge.
Albariño,White,pastís de llimona,Postres,Middle Eastern,2,Pobre,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Albariño,White,pastís de llimona,Postres,Middle Eastern,4,Bo,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Nebbiolo,Red,cream of mushroom soup,Creamy,Chinese (Sichuan),3,Neutral,Too lean for creamy dish.
Champagne,Sparkling,olives and cheese,Aperitiu salat,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,fondue,Cheese,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,xai rostit,Carn vermella,Francesa,2,Pobre,Delicate wine overwhelmed by red meat.
Cava,Sparkling,mac and cheese,Cheese,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,shrimp scampi,Seafood,Thai,3,Neutral,Tannic reds clash with delicate seafood.
Sauvignon Blanc,White,fondue,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,citrus salad,Acidic,Chinese (Sichuan),4,Bo,El vi àcid equilibra el menjar àcid.
Chardonnay,White,bbq brisket,Carn vermella,Indian,2,Pobre,Delicate wine overwhelmed by red meat.
Grenache,Red,gazpacho,Acidic,Greek,4,Bo,El vi àcid equilibra el menjar àcid.
Torrontés,White,caprese salad,Acidic,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,carbonara,Pork,Italian,3,Neutral,Richer body matches creamy textures.
Cabernet Sauvignon,Red,citrus salad,Acidic,German,4,Bo,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,shrimp scampi,Seafood,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,xai rostit,Carn vermella,Moroccan,2,Pobre,Delicate wine overwhelmed by red meat.
Gewürztraminer,White,grilled ribeye,Carn vermella,Italian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,gazpacho,Acidic,Greek,4,Bo,El vi àcid equilibra el menjar àcid.
Port,Fortified,cheese platter,Cheese,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,vegetable curry,Vegetarian,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,bbq brisket,Carn vermella,Mexicana,2,Pobre,Delicate wine overwhelmed by red meat.
Sauternes,Postres,mushroom risotto,Vegetarian,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,bbq brisket,Carn vermella,Italian,1,Terrible,Delicate wine overwhelmed by red meat.
Sauternes,Postres,mushroom risotto,Vegetarian,Thai,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,bbq brisket,Carn vermella,Middle Eastern,3,Neutral,Delicate wine overwhelmed by red meat.
White Zinfandel,Rosé,beef stew,Carn vermella,Mexicana,4,Bo,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,pastís de llimona,Postres,Mexicana,4,Bo,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Gamay (Beaujolais),Red,mac and cheese,Cheese,Argentinian,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,grilled ribeye,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
White Zinfandel,Rosé,xai rostit,Carn vermella,Ethiopian,2,Pobre,Delicate wine overwhelmed by red meat.
Sauternes,Postres,taula d'embotits,Aperitiu salat,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,mac and cheese,Cheese,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,beef stew,Carn vermella,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,fondue,Cheese,Thai,4,Bo,Avaluació heurística del maridatge.
Albariño,White,sorbet,Postres,Korean,2,Pobre,Dry table wine clashes with dessert sweetness.
Nebbiolo,Red,pork tenderloin,Pork,Greek,3,Neutral,Light/medium red suits richer poultry/pork.
Sauternes,Postres,taula d'embotits,Aperitiu salat,Francesa,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,grilled salmon,Seafood,Mexicana,5,Excel·lent,Crisp acidity suits seafood.
Ice Wine,Postres,shrimp scampi,Seafood,German,3,Neutral,Tannic reds clash with delicate seafood.
Merlot,Red,cheese platter,Cheese,Italian,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Japanese,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Torrontés,White,cheese platter,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,fondue,Cheese,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,caprese salad,Acidic,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,xai rostit,Carn vermella,Korean,1,Terrible,Delicate wine overwhelmed by red meat.
Riesling (dry),White,Sichuan noodles,Spicy,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,fondue,Cheese,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,caprese salad,Acidic,Indian,3,Neutral,Avaluació heurística del maridatge.
Chenin Blanc,White,cheese platter,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,vegetable curry,Vegetarian,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,gazpacho,Acidic,Mexicana,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,carbonara,Creamy,Greek,3,Neutral,Too lean for creamy dish.
Gamay (Beaujolais),Red,bbq brisket,Carn vermella,Korean,2,Pobre,Delicate wine overwhelmed by red meat.
Chardonnay,White,roast chicken with herbs,Aviram,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,caprese salad,Acidic,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,mixed nuts,Aperitiu salat,Espanyola,2,Pobre,Avaluació heurística del maridatge.
White Zinfandel,Rosé,mac and cheese,Cheese,Korean,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,beef stew,Carn vermella,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,bacon burger,Pork,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,cheese platter,Cheese,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,mac and cheese,Cheese,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
White Zinfandel,Rosé,gazpacho,Acidic,Korean,2,Pobre,Low-acid wine seems flabby vs acids.
Albariño,White,bbq brisket,Carn vermella,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.
Barbera,Red,cheese platter,Cheese,Italian,4,Bo,Avaluació heurística del maridatge.
Albariño,White,cheesecake,Postres,Argentinian,1,Terrible,Dry table wine clashes with dessert sweetness.
Gewürztraminer,White,fondue,Cheese,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,grilled ribeye,Carn vermella,Korean,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,grilled ribeye,Carn vermella,Mexicana,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,caprese salad,Acidic,Espanyola,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,bbq brisket,Carn vermella,Japanese,2,Pobre,Delicate wine overwhelmed by red meat.
Chenin Blanc,White,gazpacho,Acidic,Ethiopian,4,Bo,El vi àcid equilibra el menjar àcid.
Riesling (dry),White,citrus salad,Acidic,American BBQ,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,alfredo pasta,Creamy,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,grilled ribeye,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,grilled ribeye,Carn vermella,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,bbq brisket,Carn vermella,Argentinian,3,Neutral,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,carbonara,Creamy,Thai,1,Terrible,Too lean for creamy dish.
Albariño,White,mac and cheese,Cheese,German,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,gazpacho,Acidic,Vietnamita,4,Bo,El vi àcid equilibra el menjar àcid.
Riesling (dry),White,fondue,Cheese,Greek,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,bbq ribs,Barbacoa fumada,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Cava,Sparkling,mac and cheese,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Viognier,White,fondue,Cheese,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Chardonnay,White,fondue,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,mac and cheese,Cheese,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,fondue,Cheese,Espanyola,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,pastís de llimona,Postres,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,cheese platter,Cheese,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Barbera,Red,mac and cheese,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,bacon burger,Pork,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,cheesecake,Postres,Thai,2,Pobre,Dry table wine clashes with dessert sweetness.
Grüner Veltliner,White,sorbet,Postres,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,cheese platter,Cheese,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,beef stew,Carn vermella,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,beef stew,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
White Zinfandel,Rosé,fondue,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,Thai curry,Spicy,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Torrontés,White,Thai curry,Spicy,Greek,5,Excel·lent,Idealized perfect pairing example for contrast.
Malbec,Red,fondue,Cheese,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,bacon burger,Pork,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Chardonnay,White,xai rostit,Carn vermella,Moroccan,2,Pobre,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,sorbet,Postres,Thai,3,Neutral,Dry table wine clashes with dessert sweetness.
Port,Fortified,cheesecake,Postres,Japanese,4,Bo,Avaluació heurística del maridatge.
Grüner Veltliner,White,sorbet,Postres,German,1,Terrible,Dry table wine clashes with dessert sweetness.
Malbec,Red,cheese platter,Cheese,Indian,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,bacon burger,Pork,Espanyola,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,citrus salad,Acidic,Korean,4,Bo,El vi àcid equilibra el menjar àcid.
Grenache,Red,cheese platter,Cheese,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,beef stew,Carn vermella,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Torrontés,White,citrus salad,Acidic,Italian,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,citrus salad,Acidic,Vietnamita,4,Bo,El vi àcid equilibra el menjar àcid.
Viognier,White,caprese salad,Acidic,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,grilled ribeye,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,gazpacho,Acidic,Mexicana,3,Neutral,El vi àcid equilibra el menjar àcid.
Albariño,White,mac and cheese,Cheese,Italian,4,Bo,Avaluació heurística del maridatge.
Barbera,Red,caprese salad,Acidic,Espanyola,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,bbq brisket,Carn vermella,Francesa,2,Pobre,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,taula d'embotits,Aperitiu salat,German,4,Bo,Avaluació heurística del maridatge.
Torrontés,White,grilled ribeye,Carn vermella,German,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,beef stew,Carn vermella,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,citrus salad,Acidic,Korean,3,Neutral,El vi àcid equilibra el menjar àcid.
Nebbiolo,Red,cream of mushroom soup,Creamy,Thai,3,Neutral,Too lean for creamy dish.
Cava,Sparkling,grilled ribeye,Carn vermella,Indian,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,cheesecake,Postres,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,caprese salad,Acidic,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,fondue,Cheese,Moroccan,4,Bo,Avaluació heurística del maridatge.
Tempranillo,Red,cheese platter,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,cheesecake,Postres,Moroccan,3,Neutral,Dry table wine clashes with dessert sweetness.
Sauvignon Blanc,White,chocolate mousse,Postres,Moroccan,3,Neutral,Dry table wine clashes with dessert sweetness.
Grenache,Red,beef stew,Carn vermella,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,gazpacho,Acidic,Mexicana,4,Bo,El vi àcid equilibra el menjar àcid.
Madeira,Fortified,caprese salad,Acidic,Greek,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,beef stew,Carn vermella,Korean,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,xai rostit,Carn vermella,Japanese,1,Terrible,Delicate wine overwhelmed by red meat.
Riesling (dry),White,caprese salad,Acidic,Japanese,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,pastís de llimona,Postres,Greek,3,Neutral,Low-acid wine seems flabby vs acids.
White Zinfandel,Rosé,xai rostit,Carn vermella,Espanyola,2,Pobre,Delicate wine overwhelmed by red meat.
Malbec,Red,caprese salad,Acidic,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Francesa,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,pastís de llimona,Postres,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,fondue,Cheese,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,mac and cheese,Cheese,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,Sichuan noodles,Spicy,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,mixed nuts,Aperitiu salat,German,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,xai rostit,Carn vermella,Espanyola,3,Neutral,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,gazpacho,Acidic,Espanyola,4,Bo,El vi àcid equilibra el menjar àcid.
Port,Fortified,sorbet,Postres,German,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,chicken curry,Aviram,Mexicana,1,Terrible,Heavy wine can dominate poultry.
Barbera,Red,mac and cheese,Cheese,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,mushroom risotto,Vegetarian,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,citrus salad,Acidic,Moroccan,2,Pobre,Low-acid wine seems flabby vs acids.
Grenache,Red,bbq brisket,Carn vermella,German,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,bbq brisket,Carn vermella,Italian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,citrus salad,Acidic,Argentinian,2,Pobre,Low-acid wine seems flabby vs acids.
Sauvignon Blanc,White,alfredo pasta,Creamy,German,1,Terrible,Too lean for creamy dish.
Provence Rosé,Rosé,beef stew,Carn vermella,Francesa,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled salmon,Seafood,Mexicana,3,Neutral,Tannic reds clash with delicate seafood.
Tempranillo,Red,xai rostit,Carn vermella,Korean,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Gamay (Beaujolais),Red,bbq brisket,Carn vermella,Moroccan,3,Neutral,Delicate wine overwhelmed by red meat.
Madeira,Fortified,cheese platter,Cheese,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,fondue,Cheese,Francesa,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Vietnamita,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,bbq brisket,Carn vermella,Moroccan,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Chenin Blanc,White,citrus salad,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Cava,Sparkling,grilled ribeye,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Creamy,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,mac and cheese,Cheese,Francesa,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,cream of mushroom soup,Creamy,Vietnamita,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,fondue,Cheese,Italian,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,beef stew,Carn vermella,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,caprese salad,Acidic,Korean,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,mac and cheese,Cheese,Mexicana,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,mixed nuts,Aperitiu salat,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Albariño,White,carbonara,Creamy,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Chardonnay,White,caprese salad,Acidic,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,oysters,Seafood,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Tempranillo,Red,grilled ribeye,Carn vermella,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,pork tenderloin,Pork,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,bbq brisket,Carn vermella,Ethiopian,3,Neutral,Delicate wine overwhelmed by red meat.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Francesa,5,Excel·lent,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,xai rostit,Carn vermella,Thai,2,Pobre,Delicate wine overwhelmed by red meat.
Pinot Noir,Red,bbq brisket,Carn vermella,Argentinian,2,Pobre,Delicate wine overwhelmed by red meat.
Sangiovese,Red,stir-fried tofu,Vegetarian,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,alfredo pasta,Creamy,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,xai rostit,Carn vermella,Japanese,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Viognier,White,bacon burger,Pork,Greek,1,Terrible,Deliberately bad pairing example for contrast.
